,002230.XSHE,601398.XSHG,601727.XSHG,601958.XSHG,601985.XSHG,600038.XSHG,600489.XSHG,002415.XSHE,601006.XSHG,600362.XSHG,601998.XSHG,601601.XSHG,601988.XSHG,600406.XSHG,601336.XSHG,601318.XSHG,600118.XSHG,601628.XSHG,600498.XSHG,600111.XSHG,601989.XSHG,601288.XSHG,600036.XSHG,601939.XSHG,000792.XSHE,002465.XSHE,002081.XSHE,600522.XSHG,cash
002230.XSHE,0.2280871695087569,-0.0254585165906275,-0.0061080037515703995,-0.0007562039484105996,-0.019246822091734103,0.0107959226799059,-0.0154109487928396,0.023066625531969705,-0.0255880831188894,-0.0068507578678296,-0.0256045342919373,-0.015441627137600299,-0.0290873201456852,6.727310014469946e-05,-0.010555573775879599,-0.011474917355407798,0.007691147207531399,-0.016215698259957802,0.0241163724765417,0.0072556869580396016,-0.0082489231808325,-0.026905491705065197,-0.020976994947094,-0.018853787645759,0.010955332542149102,0.0237007710914047,0.0009492376686403019,0.0206220511289055,0.0
601398.XSHG,-0.0254585165906275,0.0653063297109461,0.002619940624795201,-0.014240766708924098,0.0157169465444076,-0.0173477102181582,0.0024481107537394978,-0.007832830218658101,0.026498412055354297,-1.3712541002000936e-05,0.04429893759878469,0.018334945039761897,0.048472668420880494,0.0046103742947535015,0.011144276110583898,0.020803654317243098,-0.018738240038101598,0.019433316735949398,-0.018463460208890902,-0.0159855793955456,-0.0025846032802650997,0.0467800938681518,0.0401468460232678,0.040077044790186096,-0.0196659243450117,-0.0187964191597775,-0.002357659230749701,-0.011938980680656703,0.0
601727.XSHG,-0.006108003751570402,0.0026199406247951994,0.068106503381659,-0.0012413551518074013,0.0088341005897178,-2.7306864157299916e-05,0.005702730890297401,-0.001788433512737401,0.0074219792487841,0.0014742474500772,0.002805792956400199,0.0006235224298477996,0.004238606697082899,0.005904552371836902,0.0009673726441818992,-0.0019359668585751009,0.0015317701149519997,0.0032896929956513984,-0.0021838411930510003,-0.0016347323847262,0.0072513823551425,0.0032010207159523995,0.0017528380817319995,0.0010974263410106998,-0.0014069960713437,-0.0005176353900109001,-0.0008636356460076011,-0.0036161390179895005,0.0
601958.XSHG,-0.0007562039484106,-0.0142407667089241,-0.0012413551518073995,0.08059229987998079,-0.005681349854232,0.0024761416855865,0.015287132348898603,0.0008946893313301994,-0.008241603486172202,0.0199028339122463,-0.013333939602114802,-0.0039997523524927,-0.0156796002130736,-0.004741058812063897,-0.0023593691058409,-0.0059030940128938,0.0041425949155496,-0.007514346572391799,0.0020370368296188006,0.0249717876353878,0.0027318379485082997,-0.0147266609266148,-0.010927103616608199,-0.012493141948016,0.010775353937558501,0.00014953690771530095,0.0026496785853042,0.00030530545709030014,0.0
601985.XSHG,-0.0192468220917341,0.015716946544407598,0.008834100589717796,-0.005681349854232,0.0454320043429863,-0.0067294984523412,0.008301164714240899,-0.0027783843106876016,0.0217446650552811,0.0014799750539304995,0.015047453027346093,0.007706289710006098,0.018908095372044197,0.0079027814882122,0.003392572066092999,0.0071243465291679995,-0.0056736677092286,0.010642846106170098,-0.010672718122732901,-0.007683509459113201,0.0066040953079400996,0.016947799102251998,0.014011682073409897,0.011219077325574896,-0.0096353120184852,-0.009386839857234,-0.0004273817390661992,-0.009825586099448998,0.0
600038.XSHG,0.0107959226799059,-0.017347710218158202,-2.7306864157299483e-05,0.0024761416855864984,-0.0067294984523412,0.1204047206571155,-0.0012244226300789,0.004437195329883601,-0.0119542484515466,-0.0023947950984730994,-0.017125841255868097,-0.010402362577837498,-0.0185649903482253,-0.0014793779705682,-0.006982680384606499,-0.012316568099900598,0.046227573391961096,-0.010162273383835699,0.0098156871235284,0.003962206867786601,0.0401724711672237,-0.017836946085422196,-0.014406718839360698,-0.014902743804669799,0.008159028347417701,0.010476752512447299,5.6135099727700074e-05,0.004804099771834399,0.0
600489.XSHG,-0.0154109487928396,0.002448110753739499,0.0057027308902974,0.0152871323488986,0.008301164714240895,-0.0012244226300788996,0.10440234725604779,-0.007451093238208199,0.007364421417652999,0.0179335244148999,0.0021427678074867986,-0.002772479944502201,0.004660727983626798,0.0036205253136002992,-0.0041526703128157,-0.005901431329151401,-0.000960317397688699,0.0008729431745918984,-0.0068156768543316,0.013318118878069003,0.0030509444269757008,0.0031998300527851993,0.0009139865811528987,-0.0004752552660383007,-0.0019547134118751,-0.004250495139643699,-0.004731248946106499,-0.0088952485152115,0.0
002415.XSHE,0.023066625531969705,-0.007832830218658103,-0.0017884335127374006,0.0008946893313302009,-0.0027783843106876016,0.0044371953298836,-0.0074510932382082,0.1110068890297603,-0.002956255713358202,-0.0024090057350673,-0.009067312715485502,-0.0023765059384405016,-0.009219864084596402,0.006163928721965298,-0.005091234409898201,0.002529653946166899,0.001874049327710201,-0.004630199855793102,0.009940905941569702,0.0030601725927663997,-0.0019461242713261003,-0.008318755800426602,-0.0020054428800277023,-0.006120750039846202,0.0011961421841107012,0.008415742213387702,0.0038583308518555,0.008154583510390601,0.0
601006.XSHG,-0.025588083118889403,0.026498412055354297,0.007421979248784098,-0.008241603486172202,0.021744665055281102,-0.011954248451546601,0.007364421417653002,-0.0029562557133582038,0.0632100652035793,0.002351212001780699,0.025303906530947794,0.014608313127682897,0.029774704547813197,0.0081825727346518,0.006802024706949397,0.015243391334781097,-0.0118902556790197,0.015325758342953797,-0.014549088089871001,-0.012623045222473202,0.005225912358724199,0.027795958272142898,0.023200668772727695,0.020143537684415496,-0.015377979650072602,-0.014648499948267502,0.0014780376437434975,-0.010062388049304101,0.0
600362.XSHG,-0.006850757867829599,-1.3712541001998334e-05,0.0014742474500772,0.0199028339122463,0.0014799750539305,-0.0023947950984730994,0.017933524414899902,-0.0024090057350672997,0.0023512120017807007,0.10387338022282429,0.00016664285868640046,0.0025270198196613003,-0.0003243799205202994,-0.0022532601243302995,0.0032042921002039,0.003578577099953599,-0.0027807552641246,0.0015572339665312,-0.0036513158582125002,0.020213678523659,0.0034104816242610005,-1.4332923614699192e-05,-0.0022343708315157,0.0004735387888277001,0.0042303755804656,-0.005535818925203901,0.0017375140236743003,-0.0013651459934692998,0.0
